set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set2;1;60;10;20;8;15109;15016;63;30;20;3;102;15007;42000;3;750;1902;
set2;2;60;10;20;8;16194;15862;252;80;20;8;102;15987;42000;12;354;1960;
set2;3;60;10;20;8;16043;15846;147;50;20;5;1;15840;42000;7;641;1964;
set2;4;60;10;20;8;16024;15839;105;80;20;8;102;15815;42000;5;409;1948;
set2;5;60;10;20;8;14578;14488;0;90;20;9;102;14457;42000;0;544;1856;
set2;6;60;10;20;8;14012;13910;42;60;20;6;1;13881;42000;2;605;1805;
set2;7;60;10;20;8;15384;15136;168;80;20;8;102;15172;42000;8;611;1902;
set2;8;60;10;20;8;13309;13258;21;30;20;3;102;13264;42000;1;721;1774;
set2;9;60;10;20;8;15197;15115;42;40;20;4;102;15116;42000;2;663;1893;
set2;10;60;10;20;8;15712;15599;63;50;20;5;102;15590;42000;3;636;1942;
set2;11;60;10;20;8;15751;15493;168;90;20;9;1;15498;42000;8;647;1919;
set2;12;60;10;20;8;16378;16098;210;70;20;7;102;16148;42000;10;475;1998;
set2;13;60;10;20;8;14647;14647;0;0;20;0;1;14646;42000;0;787;1891;
set2;14;60;10;20;8;15269;14938;231;100;20;10;102;15063;42000;11;409;1862;
set2;15;60;10;20;8;14845;14742;63;40;20;4;1;14711;42000;3;719;1862;
set2;16;60;10;20;8;15863;15781;42;40;20;4;102;15744;42000;2;636;1976;
set2;17;60;10;20;8;15299;15269;0;30;20;3;102;15250;42000;0;572;1946;
set2;18;60;10;20;8;14674;14489;105;80;20;8;102;14464;42000;5;329;1871;
set2;19;60;10;20;8;13919;13796;63;60;20;6;102;13809;42000;3;788;1779;
set2;20;60;10;20;8;16251;15950;231;70;20;7;1;16037;42000;11;627;1982;
