set;instance;MinCourseCap;AddSlotPenalty;AddSlots;MinAttendees;obj;pref_sum;penalty_nbCourses;penalty_addSlots;sum_z;sum_y;status;pref_sum_opt;pref_sum_rand;slack_nbPlannedCourses;slack_courseCapacity;slack_minAttendees;
set8.2;1;20;70;20;8;17410;15268;1512;630;20;9;102;15356;42000;72;313;1883;
set8.2;2;20;70;20;8;16609;15566;693;350;20;5;11;15617;42000;33;354;1908;
set8.2;3;20;70;20;8;18311;15707;1974;630;20;9;102;16165;42000;94;239;1927;
set8.2;4;20;70;20;8;17961;14517;2604;840;20;12;102;15111;42000;124;142;1802;
set8.2;5;20;70;20;8;17433;14577;2226;630;20;9;11;15093;42000;106;287;1799;
set8.2;6;20;70;20;8;17648;15898;1260;490;20;7;102;16101;42000;60;233;1947;
set8.2;7;20;70;20;8;19086;14585;3591;910;20;13;11;16214;42000;171;133;1832;
set8.2;8;20;70;20;8;17157;14826;1701;630;20;9;102;15508;42000;81;321;1859;
set8.2;9;20;70;20;8;19057;16761;1806;490;20;7;102;17310;42000;86;219;2000;
set8.2;10;20;70;20;8;15548;14421;777;350;20;5;102;14213;42000;37;266;1798;
set8.2;11;20;70;20;8;15483;14216;777;490;20;7;102;14100;42000;37;293;1797;
set8.2;12;20;70;20;8;16976;15821;735;420;20;6;11;15824;42000;35;359;1926;
set8.2;13;20;70;20;8;17501;15086;1785;630;20;9;102;15480;42000;85;226;1876;
set8.2;14;20;70;20;8;17023;15546;987;490;20;7;11;15373;42000;47;343;1890;
set8.2;15;20;70;20;8;19226;15656;2940;630;20;9;102;16813;42000;140;119;1917;
set8.2;16;20;70;20;8;17681;15441;1470;770;20;11;102;15761;42000;70;214;1943;
set8.2;17;20;70;20;8;15040;14704;126;210;20;3;102;14439;42000;6;614;1858;
set8.2;18;20;70;20;8;14383;12675;1008;700;20;10;102;12815;42000;48;303;1686;
set8.2;19;20;70;20;8;17145;16137;798;210;20;3;102;16273;42000;38;395;1963;
set8.2;20;20;70;20;8;19594;15366;3318;910;20;13;102;16408;42000;158;32;1905;
